,clientId,channelGrouping,date,visitNumber,visitId,hitNumber,hour,minute,campaign,medium,keyword,city,pagePath,eventCategory,eventAction,eventLabel,v2ProductName,v2ProductCategory
0,1112994062.1561632961,Direct,20190627,1,1561632961,57,12,59,(not set),(none),(not set),Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 8,IRIS de Syracuse,Accessories
1,1819203062.1564988686,Direct,20190805,1,1564988686,32,9,5,(not set),(none),(not set),Paris,/en_fr/the-creations/jewelry/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring S Motif,Jewelry
2,1760481156.1551019058,Direct,20190224,1,1551019061,13,16,2,(not set),(none),(not set),Perigueux,/fr_fr/les-creations/haute-joaillerie/26-vendome/architecture-inspiree.html,Video,Hotel_Particulier - Play,/fr_fr/les-creations/haute-joaillerie/26-vendome/architecture-inspiree.html,,
3,232729343.1568389631,Direct,20190913,1,1568389631,9,17,47,(not set),(none),(not set),Paris,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring S Motif,Jewelry
4,1829855792.1521191721,Display,20190211,662,1549874140,75,10,32,NYT_26first_ww_1901,display,(not set),Paris,/fr_fr/les-creations/joaillerie/couture.html,Video,pompon - 75%,/fr_fr/les-creations/joaillerie/couture.html,,
5,1786056341.1559204353,Organic Search,20190530,2,1559205652,21,10,41,(not set),organic,(not provided),Paris,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Toi et Moi Ring S Motif,Jewelry
6,1886815866.1514542822,Organic Search,20190806,1,1565093253,14,14,13,(not set),organic,(not provided),Paris,/fr_fr/les-creations/joaillerie/serpent-boheme.html,E-commerce,Product impression,Product Impression 8,Serpent Bohème Ring L Motif,Jewelry
7,1887102729.1543486829,Organic Search,20190106,4,1546785656,29,15,53,(not set),organic,(not provided),Paris,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,Video,Nature_TriomphanteFR - 0%,/fr_fr/les-creations/haute-joaillerie/nature-triomphante.html,,
8,1230879357.1561070520,Direct,20190621,1,1561070520,11,0,42,(not set),(none),(not set),Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 10,Grosgrain Sunglasses,Accessories
9,1230879357.1561070520,Direct,20190621,1,1561070520,15,0,42,(not set),(none),(not set),Lyon,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 14,"Nara, the Doe Ring",not provided
10,1222870124.1563109560,Paid Search,20190714,1,1563109560,30,15,36,[Search] [FR] Marque,cpc,+boucheron,Paris,/fr_fr/les-creations/haute-joaillerie/paris-vu-du-26.html,Navigation,Outbound link,https://medias.boucheron.com/skin/frontend/boucheron/default/images/hj-paris-vu-du-26/1200/JCO01383.png,,
11,1431702765.1554450187,Paid Search,20190405,1,1554450187,4,9,43,[Search] [FR] Marque,cpc,+boucheron,Paris,/fr_fr/les-creations/joaillerie/jack-de-boucheron.html,Newsletter,newsletter Popin Displayed,/fr_fr/les-creations/joaillerie/jack-de-boucheron.html,,
12,13707288.1568361867,Paid Search,20190913,1,1568361862,30,10,6,[Search] [FR] Marque,cpc,+boucheron,Asnieres-sur-Seine,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 21,Quatre Grosgrain Bangle Bracelet,Jewelry
13,848367309.1567846019,Paid Search,20190919,5,1568900654,6,15,44,[Search] [FR] Marque - Brides,cpc,+solitaire +boucheron,Paris,/fr_fr/les-creations/mariage-fiancailles/solitaires-diamant/solitaire-facette-platine.html,Client services,Chat intention,Init by operator,,
14,1576815499.1548366806,Paid Search,20190629,8,1561794691,20,9,51,[Search] [FR] Marque - Horlogerie,cpc,boucheron montre,Paris,/fr_fr/catalogsearch/result/,E-commerce,Product impression,Product Impression 19,Flocon Necklace,Jewelry
15,1912644953.1554282851,Paid Search,20190415,2,1555281164,2,0,32,[Search] [FR] Marque - Joaillerie,cpc,boucheron bague,Paris,/fr_fr/les-creations/joaillerie/bagues.html,Newsletter,newsletter Popin Displayed,/fr_fr/les-creations/joaillerie/bagues.html,,
